magnitude,depth,population_density,infrastructure,urban,time_night,distance,damage,casualty_risk,blackout
5.7,54.312769587940714,932,2,0,1,115.28895868433293,Medium,Medium,Failure
8.3,50.522278374824445,4458,9,1,1,85.25570260527053,Low,Medium,Risk
7.3,7.435996251611391,4118,10,0,1,216.87296093854178,Low,Medium,Risk
6.7,37.418543624484855,3327,9,1,0,258.7006695557267,Low,Low,Safe
4.7,41.11858378465642,8616,6,0,1,196.56918833376852,Medium,Medium,Risk
4.7,42.88816418520555,8001,3,0,1,153.9655925833182,Medium,High,Risk
4.3,60.11637507659657,4740,1,0,0,48.5185052864073,Low,Medium,Risk
7.9,55.69224193905345,4645,4,1,0,16.98415506884063,High,Medium,Failure
6.7,62.75098381537724,4609,3,0,0,134.26184528377718,Medium,Medium,Failure
7.2,77.66390984650218,7341,1,0,0,15.75551954552896,High,High,Failure
4.1,82.23364517802888,8210,3,0,1,171.23105494026032,Low,High,Risk
8.4,73.22169224151696,162,4,0,0,115.43602820401361,High,Low,Failure
7.7,95.7747511157188,5181,8,1,1,227.39954678490886,Low,Medium,Risk
5.0,6.732095354254355,3247,9,1,1,92.38890055401885,Low,Medium,Safe
4.8,23.59890863993688,189,3,1,1,178.3018275892622,Low,Low,Risk
4.8,5.718473122923501,1474,6,1,1,161.76737300477504,Low,Low,Risk
5.4,66.5100978446873,2999,10,0,1,2.4090152311501067,Low,Low,Safe
6.4,90.31290215024876,3218,5,1,0,22.644430081028794,Low,Medium,Risk
5.9,28.13081817474843,8758,6,0,1,87.82009553332013,Medium,High,Risk
5.3,93.06828175564914,6093,4,1,1,264.78828922520876,Medium,Medium,Risk
6.8,10.725402077508281,7039,10,1,1,44.95747151503379,Medium,Medium,Safe
4.6,93.77142254652385,7286,6,1,0,213.55740480770194,Low,Medium,Risk
5.3,38.40415528776527,6311,7,0,1,292.0366032795339,Low,Medium,Risk
5.6,14.63497870267557,937,9,1,1,237.3796982546554,Low,Low,Safe
6.1,51.15781712270093,3154,10,1,0,73.64066314442614,Low,Low,Safe
7.5,29.393773933448255,99,7,1,1,272.6012128635114,Medium,Low,Risk
4.9,32.06292568638267,4001,6,0,1,28.839039796008635,Low,Medium,Safe
6.3,34.19254666799722,3610,1,1,0,140.97444061935,High,Medium,Failure
6.7,81.28746029410303,68,2,1,1,266.3750304101977,Medium,Medium,Failure
4.2,56.22032128414918,4871,1,0,1,192.73844706780406,Low,High,Failure
6.7,34.57423141982035,6390,9,0,1,124.67972485358196,Medium,Medium,Safe
4.8,62.98170941453724,8108,10,1,1,88.55104715441347,Low,Medium,Safe
4.3,73.03431405120338,9715,10,1,1,113.15472219018663,Low,Medium,Safe
8.3,30.89928006968571,2656,9,1,0,153.17359252177658,Medium,Low,Risk
8.3,44.287164644908394,7896,7,0,0,96.39413503196941,High,Medium,Risk
7.6,16.579178867010018,8693,2,0,0,290.7213907626076,High,High,Failure
5.4,22.20918820579463,6482,6,0,1,279.9902182667774,Low,Medium,Risk
4.4,69.70619612667336,3815,4,1,1,261.3307689960819,Low,Medium,Risk
7.1,22.23664303108456,2488,1,0,1,127.12712082127337,High,Medium,Failure
6.0,54.89052144837071,9791,1,1,0,207.69922903123344,High,High,Failure
4.5,72.35939486363111,6408,5,0,1,270.94596280375345,Low,Medium,Risk
6.2,15.153307694000665,8369,2,0,1,255.27841681599946,High,High,Failure
4.2,58.89466086474584,5991,4,0,1,124.88377719204209,Low,High,Risk
